,uuid_assessment,uuid_store,uuid_client,tier_assessment,uuid_father_assessment,valor_assessment,text_assessment,modification_date,discharge_date
0,8357a2d0-35b1-41ff-8226-2dae94d5b72a,07dadf8d-47e0-434f-b9b0-df394010509f,6732f712-6863-4bba-a2f9-672d30bb92e7,1,60ff079b-2a9d-4466-af78-02ec8fa4ba52,2,"Iure quasi commodi eius officiis ducimus. Occaecati magni sit doloribus.
Impedit modi corporis dolorem impedit quaerat enim.
Quos sequi veniam ipsa odio blanditiis quos. Quaerat maxime incidunt rerum cumque.",,
1,bca6e940-fd32-4b22-aab1-83a2f3e6f073,8a5bedd3-0072-4ed4-b101-16f907e16db7,1b143706-440f-4b14-b2eb-bc4aa112b992,1,13460673-a34a-48f6-9e8d-b3aa71fb4fb9,3,"Fugit aliquid a unde ipsam nihil. Veritatis excepturi placeat ipsum ratione. Amet incidunt tempore ex.
Quod deserunt enim architecto aperiam exercitationem blanditiis. Nobis atque vero nam numquam. Ut libero temporibus eius neque adipisci.",,
2,8d6c96ac-12af-4d96-8dc4-02fd7ccd61e8,5d68f21b-2b60-4579-b676-aa521acc8ed1,11342037-cc0c-4df4-8171-10e4cdd5d998,0,0,2,"Praesentium aperiam alias quaerat mollitia fugiat mollitia. Fugiat itaque fugiat eos possimus modi cum modi.
Voluptatum impedit odio facere commodi. Rem quia nihil saepe nulla.",,
3,a95d9778-73b4-4261-a6f7-dcf9b27fbbf2,b26d7dc7-2873-45ca-b8e7-a6f18118f8fd,e46f4e0f-2635-4aa3-8595-3d35d9c5f046,0,0,4,"Consectetur id enim. Dolorem dolorem harum nam aut minima.
Ullam occaecati molestiae eum eum dicta nisi nobis. Magnam magni voluptatum perspiciatis. Minus earum tempore nostrum.",,
4,94fae77a-02e2-4721-bdd4-f46c7164f440,bd8d6a74-96e6-4447-bab5-5bb66d4c2b01,d2a3e0ae-ce06-4c80-ad9b-8a40bebbe17b,0,0,5,Quis voluptas debitis quae quod. Molestiae animi expedita quam pariatur ea. Magnam facere iure. Incidunt neque beatae recusandae quo ducimus.,,
5,780f258b-702b-4463-bd8c-a5043f79cd53,5c1bc560-d675-4343-b38d-4b5366287b8e,acaa7778-c369-4e83-a7a4-311f1a49f7b6,0,0,2,"Nihil reiciendis debitis. Ipsa labore iusto non praesentium.
Nesciunt modi aliquid quam.
Eius inventore aspernatur omnis. Voluptate eos iusto error illo corporis eveniet.
Nam quibusdam amet cupiditate suscipit ad. Error in magnam.",,
6,13709d8b-caf2-4edd-ba14-00b097547f2c,c3551919-29a0-444a-b519-99ac68648080,51bece5a-2532-4467-ae18-85ecf1fb3662,0,0,5,"Alias laborum eaque quod.
Eaque sequi soluta enim fugit enim. Iste dolorem delectus deleniti eligendi debitis explicabo. Quidem sed tenetur porro omnis perspiciatis.
Distinctio rem deserunt deleniti.",,
7,233e1575-b3ad-4bd0-a9f5-fa8661a4efba,2a781f06-cbca-4166-bbc8-c874d73cd4d5,8fa567e7-ab05-44ab-adcc-087796d3cf0c,1,d07ed158-6282-493a-8efc-2b34fe2c6cb9,5,"Culpa unde tempora nisi voluptatum. A veritatis quis molestias. Voluptates maxime commodi ex. Itaque at unde.
Nostrum deleniti voluptatum eos. Soluta quibusdam possimus sed deleniti reiciendis.",,
8,3c331358-f338-439a-a594-a6e2bffe7c7d,c7d55e81-e7f2-45d9-a78f-c950703a3844,a85cda0c-61f4-4046-8197-ac190da1f266,1,a16f8034-9e73-4fa1-a336-f2b764875ef8,3,"Rerum exercitationem doloremque ad. Ipsam nulla hic molestias voluptatem eum quod eius. Enim optio deserunt eos quaerat.
Veniam accusamus dolorem. Earum excepturi porro autem non officia reprehenderit.",,
9,d1969e20-f84b-4f3b-b5d6-f52a79983b4c,7857f2bf-4b65-4d27-aaed-2a725f1be6fd,8acc3af0-a972-4091-a1d2-485cf100e46b,0,0,2,"Omnis ducimus necessitatibus aut omnis exercitationem eligendi. Vitae non possimus maiores enim et blanditiis. Sapiente excepturi aut inventore omnis fugit consequatur.
Quas alias repellat. Ut neque quaerat quaerat animi aperiam quas blanditiis.",,
10,1f5159d4-2fa8-43d2-8326-c4ea51318219,27a1874b-3ab1-4fdc-8f44-1ccdbc348732,31dd362a-27a7-4afb-b7f7-6f6ae2773313,0,0,1,"Iusto doloremque saepe corrupti saepe natus.
Quam odit labore. Voluptatibus itaque animi occaecati natus reprehenderit temporibus dicta.",,
11,f5b80eef-b5e6-4377-93f8-cb8a63e77d05,42eb07e9-c34c-4845-bc50-ede49cef7a92,b8176422-bb21-4a94-bb13-5ea2408937c1,1,cb4e386a-0824-41dd-ba1a-f4ed694afdf3,2,A incidunt nihil pariatur doloribus. Omnis id dolores libero reiciendis laboriosam velit. Assumenda natus doloribus dolore necessitatibus optio eum nihil.,,
12,42ff27b4-cc83-4e1b-b1f7-f76e706f8165,2a26ba43-d536-49a1-865b-b0b562f4072e,3a4069e4-261d-4387-a522-89a80d551086,0,0,5,"Culpa natus amet voluptate harum facilis omnis doloremque. Earum occaecati labore quidem sequi aperiam. Repellat perspiciatis aliquam dolor nesciunt quas.
Illo modi delectus velit. Incidunt distinctio natus impedit id nulla beatae.",,
13,2b7195ce-f761-4402-a0c5-8c1bc9e1b416,a6f6d350-3813-4050-a75d-7f9d04398cd4,cace8adc-13de-4ef2-9622-fc05912afc2d,1,642a3b04-53cd-47ab-b38b-7bca5fbf397d,2,"A earum voluptas. Illum voluptatibus libero hic. Non fugiat adipisci nostrum beatae illo nam dolore.
Fugit iste pariatur tempora nihil impedit quis.",,
14,9905c9fd-242f-4def-9074-3c4131bb02d7,81879d55-4e3e-4253-8d90-06d316cd4789,011445ae-a41b-4d49-8f50-141dedea02e8,0,0,5,"Quos vero esse dolorum earum provident beatae porro. Vel temporibus cupiditate quae ab voluptates itaque.
Accusamus ipsa modi nulla tenetur dignissimos. Nulla eos consequatur recusandae voluptas esse quam porro. Sapiente error provident sapiente.",,
15,53010a5c-1f2b-4d1d-b8ac-37e333af438b,5ba2cf18-7f2c-4d25-b8f6-b3c364ae9cdf,25a085eb-e615-49d9-a18b-7abe08349a3e,0,0,5,"Error excepturi itaque voluptas quos dolorem. Molestias voluptatibus ducimus odio. Similique porro molestias.
Placeat praesentium odio soluta adipisci fugit natus. Nisi eligendi facere. Doloremque cum blanditiis voluptate provident.",,
16,9a48c5ee-b23b-426c-aa10-669a8913507d,d593e013-e836-471b-b836-858e0f6db194,41e9aa7c-453f-4a38-a2c1-37e6aac8531d,1,871686ef-81ed-4919-86c4-f513c99d24a9,5,Laborum laboriosam aliquid. Dignissimos reprehenderit similique provident quia quos. Excepturi ipsam accusantium necessitatibus voluptatibus consequatur hic.,,
17,55fbca7e-24e1-4a79-b35e-99804fb9c4c9,05d1378b-46c5-4e16-a977-68c47fd60797,7aafb612-6a5f-4736-ba4f-9c233ed91f05,1,47a5c222-1eef-4f63-8439-4f47f54993cb,5,"Consequuntur repudiandae perferendis cumque. Reprehenderit pariatur architecto cum.
Totam id reprehenderit esse eveniet. Ex praesentium vero itaque natus error amet.",,
18,42bcc79d-7c8b-4b19-8acb-2e352d3c90e0,696d21fb-a848-4f9f-9652-644a8ea3d615,98729cea-abb9-4ee1-894e-9d590b5a23c2,0,0,5,Architecto ea occaecati dolore sed quos doloremque consectetur. Enim culpa debitis alias unde est officia. Dolores sunt nihil rerum hic quos laudantium.,,
19,0c9b1039-8318-4692-9b9d-dbf65ba828ac,c9a9d189-68be-4568-9ccf-39ccfe32acac,97a780df-3bb5-4792-9a06-456bb5244bfb,0,0,5,"Voluptatem totam ex consequuntur iure sunt iure. Quae corporis perferendis maxime tempore.
Vel deserunt harum fuga totam eaque.
Iure est repellendus amet voluptas consequatur. Inventore illum autem adipisci doloribus.",,
20,fa4dc659-cfbe-43d3-a5a5-078ac2798578,259597f6-348e-4a60-884c-d3aff815a991,86bc9310-8c11-4491-8ba5-cecf7e98102a,0,0,1,Aut explicabo repellat voluptates commodi. Accusantium cupiditate ipsum veniam numquam eius. Voluptatem labore numquam explicabo.,,
